trader_address_label,Entity,trader_address,account_value,roi,total_pnl(unrealize profit)
Former Smart Trader [0x059049],retail,0x05904930cae1e9a48c055f4a8a83480ba7fc6abf,"882,294.96",3.37,"174,171.42"
High Balance [0x041836],retail,0x041836d6c0617c694b70b57680f45905811076db,"1,065,963.90",0.04,"186,315.89"
"""wuuuu"" on OpenSea [0x00897e]",retail,0x00897e2d7168165b81558c3cd9257efb007f2410,"2,528,699.37",0.00,"275,987.83"
Smart HL Perps Trader,retail,0xb317d2bc2d3d2df5fa441b5bae0ab9d8b07283ae,"272,915,969.19",0.30,"49,168,740.17"
[0xde4247],retail,0xde4247f0db1e4c32842049a1904bc733779f952b,"1,627,901.73",0.05,"422,809.61"
High Balance [0xdd0c5d],retail,0xdd0c5de50d72e5eaa96816e920e41ce89c4b8888,"788,949.74",0.03,"117,526.27"
Consistent Perps Winner [0xc570c3],retail,0xc570c3a322fdf519694f66ae2afc68d6ef30ee0a,"1,189,617.36",0.12,"132,357.71"
Former Smart Trader [0xa215ce],retail,0xa215ce4eac3900ac8a5e76f621eb8498be16aa51,"324,830.71",0.15,"162,563.43"
Trading Bot [0x9c68cd],retail,0x9c68cd0568eb47bad36ecd8090e6c1d1396a7783,"782,142.73",0.00,"151,776.87"
High Activity [0x9c16bc],retail,0x9c16bc8f1104e4d2f72267eb981fa12de7cc4a6f,"1,801,629.31",0.06,"236,007.21"
Top 100 on WBTC Leaderboard [0x8af700],retail,0x8af700ba841f30e0a3fcb0ee4c4a9d223e1efa05,"22,539,027.05",1.91,"1,237,544.96"
[0x842c3f],retail,0x842c3f25e45513982b31519566569963d717742b,"1,793,371.82",0.05,"469,576.28"
Former Smart Trader [0x5fddaf],retail,0x5fddaf29681f3acd3ee5d88ef150f066b4db9890,"554,149.10",0.03,"101,594.48"
Token Millionaire [0x5797f3],retail,0x5797f35b2a81669e85fa8f3ea8816f7054ad1dd4,"965,474.31",0.12,"138,047.07"
Smart HL Perps Trader [0x556c8b],retail,0x556c8b1c32744692ae52ab2856fdcd8d54acc6c8,"175,397.29",0.25,"133,568.54"
[0x5559da],retail,0x5559da6ec434c5723d0ce9c4da7f29e3f8a3d43b,"2,484,144.99",0.36,"218,906.02"
"""yehyun_eth"" on OpenSea [0x491150]",retail,0x4911505cbb6cc71f71b59ef1ec0ee99f6c57a8a0,"688,730.82",0.15,"338,297.49"
Consistent Perps Winner [0x40f20b],retail,0x40f20b734d7d25ba0b6219e921382fa992a56a9e,"114,902.87",0.33,"110,882.58"
High Balance [0x2d99fe],retail,0x2d99fe0f36c1aebd28a1a2c0e82e8ca13c2ea351,"8,199,929.19",0.33,"415,356.98"
